iter	RMSE
0	8.19737117
1	7.987879749
2	7.792601518
3	7.611850568
4	7.432607081
5	7.262642809
6	7.100858929
7	6.936574443
8	6.78620262
9	6.648839332
10	6.508531938
11	6.376970761
12	6.248102801
13	6.128874175
14	6.013125032
15	5.90043074
16	5.796666477
17	5.692661745
18	5.599084423
19	5.507005344
20	5.414859194
21	5.326478241
22	5.241435874
23	5.164780381
24	5.079197955
25	5.011731669
26	4.942392219
27	4.865322414
28	4.801575081
29	4.74270447
30	4.681206167
31	4.622546588
32	4.567368436
33	4.515074066
34	4.468431443
35	4.415441442
36	4.367769846
37	4.321655615
38	4.273467628
39	4.223775192
40	4.182730248
41	4.142079041
42	4.103546267
43	4.065740623
44	4.031332267
45	3.993268381
46	3.956426717
47	3.923182772
48	3.883474696
49	3.849701293
50	3.81657676
51	3.785896399
52	3.756481974
53	3.730135063
54	3.694093889
55	3.667420568
56	3.640852239
57	3.618917441
58	3.592551144
59	3.563730051
60	3.537781731
61	3.512635331
62	3.489344382
63	3.461870562
64	3.439863043
65	3.415914138
66	3.395222288
67	3.373042888
68	3.35199346
69	3.338788486
70	3.317095175
71	3.298008974
72	3.280557626
73	3.265541146
74	3.249551669
75	3.235867187
76	3.2220065
77	3.204148864
78	3.189218593
79	3.174912438
80	3.162465728
81	3.148034779
82	3.134745078
83	3.122863777
84	3.108683467
85	3.095326104
86	3.080656089
87	3.070271189
88	3.062100223
89	3.049931317
90	3.040201881
91	3.025783753
92	3.014951718
93	3.004000515
94	2.991359174
95	2.982708108
96	2.972508548
97	2.961285202
98	2.9536609
99	2.943723147
100	2.935987034
101	2.926265686
102	2.916436173
103	2.908264799
104	2.900018233
105	2.892828853
106	2.883659022
107	2.877288219
108	2.86947742
109	2.859420124
110	2.851519769
111	2.844365685
112	2.83502337
113	2.827357948
114	2.82040449
115	2.813866699
116	2.803863206
117	2.794715825
118	2.788332826
119	2.782024205
120	2.775495149
121	2.769087034
122	2.762785022
123	2.753934377
124	2.748797099
125	2.742593775
126	2.737641617
127	2.732019676
128	2.72405962
129	2.718851486
130	2.711195233
131	2.704309937
132	2.697719762
133	2.692172016
