iter	Passed	Remaining
0	17	7140
1	33	7087
2	50	7015
3	65	6852
4	81	6766
5	97	6756
6	113	6724
7	129	6703
8	146	6691
9	161	6638
10	176	6592
11	192	6569
12	208	6531
13	224	6526
14	240	6512
15	256	6488
16	272	6481
17	288	6468
18	304	6441
19	319	6408
20	334	6375
21	350	6352
22	366	6339
23	383	6335
24	397	6303
25	412	6269
26	428	6256
27	443	6227
28	458	6204
29	474	6182
30	488	6141
31	502	6108
32	517	6083
33	533	6067
34	548	6050
35	562	6010
36	577	5992
37	592	5970
38	607	5948
39	622	5926
40	638	5913
41	652	5890
42	670	5897
43	686	5881
44	702	5866
45	718	5855
46	734	5844
47	748	5814
48	762	5790
49	780	5791
50	795	5769
51	808	5734
52	824	5722
53	838	5698
54	854	5687
55	870	5676
56	887	5666
57	902	5651
58	919	5643
59	939	5655
60	960	5669
61	980	5677
62	1002	5696
63	1026	5725
64	1049	5745
65	1070	5757
66	1092	5770
67	1112	5775
68	1131	5772
69	1151	5775
70	1174	5787
71	1189	5763
72	1206	5752
73	1222	5730
74	1236	5704
75	1250	5677
76	1266	5656
77	1280	5632
78	1296	5613
79	1311	5592
80	1327	5573
81	1344	5557
82	1360	5539
83	1375	5516
84	1392	5504
85	1407	5483
86	1424	5468
87	1437	5441
88	1452	5419
89	1468	5400
90	1482	5376
91	1496	5352
92	1511	5330
93	1533	5336
94	1555	5337
95	1570	5317
96	1585	5294
97	1599	5272
98	1617	5261
99	1632	5241
100	1648	5222
101	1662	5199
102	1677	5179
103	1693	5160
104	1708	5140
105	1723	5121
106	1739	5104
107	1754	5084
108	1771	5071
109	1788	5055
110	1804	5039
111	1819	5021
112	1835	5002
113	1852	4988
114	1868	4972
115	1884	4954
116	1901	4940
117	1917	4924
118	1933	4906
119	1948	4887
120	1965	4873
121	1984	4864
122	2001	4848
123	2016	4829
124	2032	4812
125	2047	4794
126	2064	4779
127	2081	4764
128	2099	4752
129	2115	4736
130	2130	4717
131	2145	4696
132	2161	4679
133	2174	4658
134	2189	4638
135	2205	4621
136	2222	4606
137	2238	4590
138	2254	4574
139	2270	4558
140	2287	4541
141	2302	4523
142	2318	4506
143	2336	4493
144	2352	4478
145	2365	4455
146	2378	4433
147	2394	4416
148	2408	4396
149	2422	4377
150	2437	4357
151	2453	4342
152	2467	4322
153	2482	4304
154	2498	4288
155	2518	4277
156	2538	4268
157	2557	4257
158	2578	4249
159	2598	4239
160	2619	4230
161	2642	4224
162	2666	4220
163	2687	4210
164	2711	4206
